"","T.handarea","Frac.HS","Frac.HF","Reduc.intv","TE.all","TE.face","Conc.i.face","Conc.i.hand","Conc.i.surface","Risk.2..."
"T.handarea",1,0.00721825615218256,0.013558399863584,NA,0.00080075602400756,0.0069244102172441,NA,NA,-0.0128785651167857,0.0164116282641163
"Frac.HS",0.00721825615218256,1,-0.00227648878676489,NA,0.0122255596462556,-0.00365675888456759,NA,NA,-0.0111024740070247,0.172056843004568
"Frac.HF",0.013558399863584,-0.00227648878676489,1,NA,0.0075698297676983,0.00727937892079379,NA,NA,-0.00136156778561568,0.0500470156404702
"Reduc.intv",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"TE.all",0.00080075602400756,0.0122255596462556,0.0075698297676983,NA,1,0.00195148833151488,NA,NA,0.0161295326932953,0.349457843642578
"TE.face",0.0069244102172441,-0.00365675888456759,0.00727937892079379,NA,0.00195148833151488,1,NA,NA,-0.0106643643106436,0.207297098420971
"Conc.i.face",NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Conc.i.hand",NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Conc.i.surface",-0.0128785651167857,-0.0111024740070247,-0.00136156778561568,NA,0.0161295326932953,-0.0106643643106436,NA,NA,1,0.855953111607531
"Risk.2...",0.0164116282641163,0.172056843004568,0.0500470156404702,NA,0.349457843642578,0.207297098420971,NA,NA,0.855953111607531,1
